iter	Passed	Remaining
942	7159	30802
943	7166	30792
944	7172	30779
945	7181	30774
946	7187	30761
947	7194	30752
948	7201	30742
949	7208	30730
950	7211	30703
951	7216	30686
952	7223	30674
953	7229	30661
954	7236	30649
955	7242	30637
956	7249	30628
957	7258	30626
958	7266	30620
959	7273	30609
960	7279	30596
961	7288	30592
962	7294	30580
963	7301	30570
964	7308	30557
965	7314	30545
966	7321	30533
967	7327	30523
968	7335	30516
969	7342	30505
970	7349	30493
971	7355	30482
972	7364	30481
973	7371	30468
974	7378	30458
975	7384	30445
976	7391	30435
977	7398	30424
978	7404	30413
979	7411	30403
980	7418	30391
981	7424	30378
982	7431	30368
983	7438	30357
984	7445	30350
985	7452	30340
986	7460	30332
987	7466	30320
988	7473	30308
989	7480	30297
990	7488	30296
991	7495	30285
992	7502	30272
993	7508	30262
994	7515	30250
995	7521	30237
996	7528	30228
997	7533	30208
998	7539	30196
999	7546	30187
1000	7553	30178
1001	7561	30171
1002	7568	30159
1003	7575	30149
1004	7581	30138
1005	7588	30126
1006	7595	30119
1007	7602	30108
1008	7610	30102
1009	7616	30090
1010	7623	30080
1011	7629	30067
1012	7637	30060
1013	7644	30048
1014	7651	30039
1015	7657	30027
1016	7663	30014
1017	7670	30005
1018	7676	29992
1019	7684	29985
1020	7692	29978
1021	7699	29970
1022	7705	29957
1023	7713	29949
1024	7720	29941
1025	7727	29931
1026	7734	29920
1027	7740	29909
1028	7747	29898
1029	7754	29887
1030	7775	29934
1031	7782	29922
1032	7789	29912
1033	7795	29900
1034	7802	29890
1035	7809	29880
1036	7816	29870
1037	7823	29860
1038	7829	29848
1039	7837	29842
1040	7844	29831
1041	7850	29819
1042	7857	29810
1043	7863	29798
1044	7870	29789
1045	7877	29777
1046	7886	29776
1047	7893	29766
1048	7901	29759
1049	7907	29748
1050	7914	29738
1051	7921	29726
1052	7928	29717
1053	7935	29707
1054	7941	29697
1055	7948	29686
1056	7952	29665
1057	7959	29658
1058	7966	29648
1059	7973	29638
1060	7980	29627
1061	7988	29622
1062	7995	29612
1063	8002	29603
1064	8009	29593
1065	8016	29582
1066	8023	29573
1067	8029	29563
1068	8038	29557
1069	8045	29548
1070	8052	29540
1071	8058	29528
1072	8065	29516
1073	8071	29506
1074	8081	29507
1075	8089	29501
1076	8097	29493
1077	8104	29485
1078	8112	29480
1079	8116	29461
1080	8122	29448
1081	8129	29436
1082	8136	29428
1083	8143	29417
1084	8149	29406
1085	8156	29396
1086	8163	29386
1087	8169	29375
1088	8177	29366
1089	8183	29356
1090	8192	29352
1091	8198	29341
1092	8204	29329
1093	8211	29316
1094	8218	29307
1095	8224	29296
1096	8232	29292
1097	8240	29284
1098	8248	29277
1099	8254	29265
1100	8262	29259
1101	8270	29253
1102	8277	29243
1103	8283	29233
1104	8290	29224
1105	8297	29213
1106	8305	29206
1107	8312	29198
1108	8320	29193
1109	8327	29183
1110	8334	29172
1111	8341	29164
1112	8348	29155
1113	8357	29152
1114	8363	29141
1115	8369	29129
1116	8376	29117
1117	8384	29114
1118	8391	29104
1119	8398	29094
1120	8405	29085
1121	8412	29075
1122	8418	29063
1123	8426	29057
1124	8434	29050
1125	8441	29043
1126	8448	29033
1127	8459	29037
1128	8466	29029
1129	8473	29018
1130	8479	29007
1131	8486	28997
1132	8493	28988
1133	8499	28975
1134	8506	28968
1135	8513	28958
1136	8520	28949
1137	8527	28938
1138	8534	28929
1139	8541	28920
1140	8547	28910
1141	8554	28901
1142	8561	28890
1143	8568	28881
1144	8574	28870
1145	8581	28860
1146	8587	28848
1147	8594	28837
1148	8600	28826
1149	8606	28814
1150	8614	28805
1151	8620	28796
1152	8630	28795
1153	8636	28784
1154	8643	28774
1155	8649	28762
1156	8657	28756
1157	8665	28749
1158	8672	28740
1159	8678	28728
1160	8685	28720
1161	8692	28711
1162	8700	28703
1163	8708	28699
1164	8715	28688
1165	8722	28679
1166	8728	28669
1167	8735	28661
1168	8742	28650
1169	8749	28642
1170	8756	28632
1171	8763	28621
1172	8770	28614
1173	8777	28605
1174	8785	28600
1175	8792	28590
1176	8799	28581
1177	8806	28572
1178	8812	28561
1179	8819	28552
1180	8826	28541
1181	8833	28533
1182	8839	28522
1183	8846	28512
1184	8853	28503
1185	8862	28499
1186	8869	28490
1187	8875	28479
1188	8882	28469
1189	8890	28465
1190	8897	28454
1191	8905	28448
1192	8911	28438
1193	8918	28427
1194	8924	28417
1195	8931	28407
1196	8939	28403
1197	8946	28392
1198	8953	28384
1199	8960	28375
1200	8969	28372
1201	8976	28363
1202	8983	28353
1203	8989	28343
1204	8997	28336
1205	9004	28328
1206	9013	28323
1207	9020	28317
1208	9028	28311
1209	9035	28302
1210	9044	28299
1211	9052	28291
1212	9059	28283
1213	9066	28276
1214	9074	28270
1215	9081	28260
1216	9089	28255
1217	9097	28250
1218	9105	28243
1219	9112	28234
1220	9119	28226
1221	9126	28217
1222	9135	28212
1223	9142	28205
1224	9150	28199
1225	9158	28191
1226	9164	28181
1227	9171	28170
1228	9177	28160
1229	9183	28149
1230	9190	28138
1231	9196	28127
1232	9203	28116
1233	9211	28112
1234	9218	28102
1235	9226	28096
1236	9232	28084
1237	9241	28082
1238	9248	28073
1239	9255	28064
1240	9261	28054
1241	9269	28047
1242	9276	28038
1243	9284	28031
1244	9291	28022
1245	9298	28015
1246	9305	28004
1247	9312	27995
1248	9319	27988
1249	9326	27978
1250	9333	27971
1251	9340	27962
1252	9347	27954
1253	9354	27944
1254	9362	27938
1255	9369	27928
1256	9376	27919
1257	9382	27909
1258	9389	27899
1259	9395	27888
1260	9403	27881
1261	9411	27876
